open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2025-03-31 14:00:00,82507.99,83746.23,82507.49,83499.18,2160.57547,2025-03-31 14:59:59.999,179834137.7884071,386836,1150.03074,95728145.8394882,0
2025-03-31 15:00:00,83499.18,83943.08,83390.3,83418.78,1241.90923,2025-03-31 15:59:59.999,103863613.2434067,229492,617.6999,51664812.0402385,0
2025-03-31 16:00:00,83418.78,83694.29,83246.86,83288.89,658.28656,2025-03-31 16:59:59.999,54921550.521423,167544,291.71369,24343219.0718038,0
2025-03-31 17:00:00,83288.88,83545.55,82575.45,82680.34,667.39263,2025-03-31 17:59:59.999,55415357.0766324,167997,274.0014,22753330.4288504,0
2025-03-31 18:00:00,82680.35,83566.0,82676.0,83291.42,810.73087,2025-03-31 18:59:59.999,67516635.8238952,181938,458.16955,38152835.5570036,0
2025-03-31 19:00:00,83291.42,83443.38,82400.0,82462.27,798.20925,2025-03-31 19:59:59.999,66179822.239471,179472,427.26759,35427478.2038346,0
2025-03-31 20:00:00,82462.26,82846.2,82350.84,82431.32,701.19812,2025-03-31 20:59:59.999,57917375.7307714,122215,482.40349,39856412.0592297,0
2025-03-31 21:00:00,82431.32,82752.18,82422.0,82563.99,342.52865,2025-03-31 21:59:59.999,28287125.2918714,76297,189.33957,15636679.7369885,0
2025-03-31 22:00:00,82563.99,82571.98,82265.1,82409.99,260.87647,2025-03-31 22:59:59.999,21491042.2843568,77773,132.90724,10948109.8240615,0
2025-03-31 23:00:00,82410.0,82886.8,82283.9,82550.01,383.74846,2025-03-31 23:59:59.999,31677381.7194804,86810,225.44266,18611010.9924613,0
2025-04-01 00:00:00,82550.0,82837.38,82432.74,82651.1,526.95922,2025-04-01 00:59:59.999,43545372.6445268,126921,275.9606,22806509.3829112,0
2025-04-01 01:00:00,82651.09,82741.8,82460.0,82704.2,440.09093,2025-04-01 01:59:59.999,36359141.4696253,113653,234.69197,19391451.3650223,0
2025-04-01 02:00:00,82704.2,83120.0,82649.34,83100.0,522.78246,2025-04-01 02:59:59.999,43351985.5174451,94933,301.63096,25011989.5211018,0
2025-04-01 03:00:00,83100.0,83256.8,82926.08,82962.84,526.15363,2025-04-01 03:59:59.999,43729072.3185155,73770,282.40591,23475518.2324029,0
2025-04-01 04:00:00,82962.84,83235.96,82886.87,83060.0,425.37874,2025-04-01 04:59:59.999,35327403.8213076,58157,177.52534,14741539.9403404,0
2025-04-01 05:00:00,83059.99,83329.99,82994.07,83006.67,348.44364,2025-04-01 05:59:59.999,28982810.7766795,54642,162.45371,13515794.4255908,0
2025-04-01 06:00:00,83006.67,83494.25,82891.71,83454.76,425.66016,2025-04-01 06:59:59.999,35424171.1136857,82468,233.19159,19410914.2019147,0
2025-04-01 07:00:00,83454.76,83597.07,83380.58,83445.5,622.58551,2025-04-01 07:59:59.999,51976267.3257937,81017,252.26438,21060654.7669058,0
2025-04-01 08:00:00,83445.5,84207.55,83410.0,84121.94,1217.29279,2025-04-01 08:59:59.999,102136241.6661205,134808,622.09819,52205560.6930027,0
2025-04-01 09:00:00,84121.94,84395.46,84116.27,84362.0,1018.97186,2025-04-01 09:59:59.999,85859817.0410361,119942,554.26575,46701502.6876653,0
2025-04-01 10:00:00,84362.01,84504.74,84150.0,84175.99,914.76118,2025-04-01 10:59:59.999,77138285.2119569,132602,417.12527,35182883.2098376,0
2025-04-01 11:00:00,84175.99,84203.0,83823.67,83930.3,854.54351,2025-04-01 11:59:59.999,71781437.9528087,97492,294.87166,24769250.8663222,0
2025-04-01 12:00:00,83930.31,84154.22,83615.25,83615.26,734.99256,2025-04-01 12:59:59.999,61653527.0664245,108938,334.09205,28030108.8523226,0
2025-04-01 13:00:00,83615.26,83912.62,83416.66,83618.23,1152.68104,2025-04-01 13:59:59.999,96449625.5313903,250149,542.04893,45357931.9612419,0
2025-04-01 14:00:00,83622.96,84350.0,82544.0,84195.92,2522.86047,2025-04-01 14:59:59.999,210121766.18091968,427569,1382.49063,115153198.0867471,0
2025-04-01 15:00:00,84195.92,85499.55,84182.89,85280.87,2484.93075,2025-04-01 15:59:59.999,211057969.16429833,378853,1291.03144,109631322.1253408,0
2025-04-01 16:00:00,85280.88,85493.0,84815.0,85119.99,1208.48492,2025-04-01 16:59:59.999,102897039.5191493,215410,503.29673,42857272.0525782,0
2025-04-01 17:00:00,85120.0,85333.33,84901.32,85117.85,775.2624,2025-04-01 17:59:59.999,65991060.428123,146324,406.74152,34628990.1065963,0
2025-04-01 18:00:00,85117.86,85183.46,84720.0,85126.68,742.89553,2025-04-01 18:59:59.999,63116267.9024305,164980,429.85459,36529371.7490082,0
2025-04-01 19:00:00,85126.68,85184.89,84816.83,84972.01,897.45326,2025-04-01 19:59:59.999,76316526.2282284,121491,543.53588,46222927.9015262,0
2025-04-01 20:00:00,84972.0,85350.0,84773.58,85231.28,528.39638,2025-04-01 20:59:59.999,44930827.4391833,94995,289.54869,24613564.4398861,0
2025-04-01 21:00:00,85231.28,85476.86,85120.0,85223.84,325.84141,2025-04-01 21:59:59.999,27791458.7315451,80534,185.38263,15811227.9292504,0
2025-04-01 22:00:00,85223.84,85483.38,85082.0,85099.99,477.11302,2025-04-01 22:59:59.999,40677735.1673023,88267,245.99064,20975024.7769102,0
2025-04-01 23:00:00,85100.0,85579.46,84969.56,85158.34,495.8616,2025-04-01 23:59:59.999,42279892.3569721,80778,283.92742,24218263.1586606,0
2025-04-02 00:00:00,85158.35,85255.95,84923.28,84964.49,472.95093,2025-04-02 00:59:59.999,40244375.9886444,94066,245.94959,20930493.4271583,0
2025-04-02 01:00:00,84964.49,85213.12,84854.9,85147.3,597.76896,2025-04-02 01:59:59.999,50822554.4873381,92953,317.12974,26961059.7549693,0
2025-04-02 02:00:00,85147.31,85174.89,84648.9,84714.36,850.77436,2025-04-02 02:59:59.999,72147345.6433445,122696,431.54151,36598345.6240885,0
2025-04-02 03:00:00,84714.36,84904.0,84504.21,84550.0,475.50966,2025-04-02 03:59:59.999,40279404.1916991,85959,205.8012,17430988.807191,0
2025-04-02 04:00:00,84550.0,84726.42,84460.11,84607.0,444.66226,2025-04-02 04:59:59.999,37616641.3234404,76243,213.77681,18086557.5856393,0
2025-04-02 05:00:00,84607.0,84607.0,84100.0,84100.0,550.68482,2025-04-02 05:59:59.999,46407937.013505,84270,185.52516,15635275.2055076,0
2025-04-02 06:00:00,84100.0,84371.59,83904.72,84125.99,646.4978,2025-04-02 06:59:59.999,54378067.2452662,107186,348.00272,29277490.3288898,0
2025-04-02 07:00:00,84125.99,84462.16,84015.97,84426.33,642.70738,2025-04-02 07:59:59.999,54146861.1245059,110276,345.33136,29094432.546641,0
2025-04-02 08:00:00,84426.32,84762.72,84262.73,84677.04,535.25665,2025-04-02 08:59:59.999,45249870.5322529,84116,307.72192,26015922.8203027,0
2025-04-02 09:00:00,84677.04,85450.0,84635.6,85019.62,910.86351,2025-04-02 09:59:59.999,77473602.1631831,141986,487.21319,41439057.0875216,0
2025-04-02 10:00:00,85019.63,85299.45,84828.0,84867.92,592.83032,2025-04-02 10:59:59.999,50424168.3096573,105532,260.92362,22195717.7452374,0
